任务编号,任务名称,工作线,阶段,计划开始日,计划结束日,执行天数,负责工具/角色,依赖前置,交付物,状态,优先级,备注
T-00-01,获取现有代码仓库并评估,准备,第一周,Day 1,Day 2,2,Manus,无,现有代码架构评估报告,待启动,P0,需同事提供仓库地址或访问权限
T-00-02,部署环境资源申请（见部署清单）,准备,第一周,Day 1,Day 3,3,运营/技术负责人,无,云服务器+域名+微信服务号+支付商户号,待启动,P0,微信相关审核周期最长，必须Day1启动
T-01-01,数据库 ER 图设计（六大数据库）,基建,第一周,Day 2,Day 3,2,Manus + GPT,无,完整 ER 图（含表结构和关系）,待启动,P0,是三线并行的解耦基础
T-01-02,API 接口契约文档,基建,第一周,Day 2,Day 3,2,Manus + GPT,T-01-01,Apifox/Swagger 接口文档,待启动,P0,前后端并行开发的唯一依赖
T-A-01,数据库搭建与基础数据录入,线A·引擎,第一周,Day 4,Day 7,4,Manus / Code,T-01-01,可查询的数据库（含28场景+90营养点基础数据）,待启动,P0,营养点数据需人工审核确认
T-A-02,Nex₂U 引擎核心算法（基础版）,线A·引擎,第一周,Day 4,Day 7,4,Manus / Code,T-01-02,可接受输入、输出餐食方案 JSON 的 API 服务,待启动,P0,先支持 5 个主题场景即可
T-A-03,引擎完善（扩展更多场景支持）,线A·引擎,第二周,Day 8,Day 10,3,Manus / Code,T-A-02,支持 10+ 主题场景的引擎,待启动,P1,第二周迭代
T-B-01,前端工程脚手架搭建,线B·前端,第一周,Day 3,Day 4,2,Manus / Code,T-01-02,可运行的前端工程（Vite+React+TailwindCSS）,待启动,P0,基于 Mock 数据启动
T-B-02,前端核心页面开发（Mock数据版）,线B·前端,第一周,Day 4,Day 7,4,Manus / Code,T-B-01,场景选择页+菜单展示页+下单页（Mock版）,待启动,P0,UI 参考现有 sitechnology.com.cn
T-B-03,前端对接真实 API,线B·前端,第二周,Day 8,Day 11,4,Manus / Code,T-A-02 + T-B-02,前端接入真实引擎数据（替换 Mock）,待启动,P0,联调阶段核心任务
T-B-04,微信支付对接（JSAPI）,线B·前端,第二周,Day 10,Day 12,3,Manus / Code,T-B-03 + D-05,微信 JSAPI 支付跑通,待启动,P0,依赖微信支付商户号审核通过
T-C-01,后台工程脚手架搭建,线C·后台,第一周,Day 3,Day 4,2,Manus / Code,T-01-02,可运行的后台工程,待启动,P0,基于 Mock 数据启动
T-C-02,后台核心管理页面（CRUD）,线C·后台,第一周,Day 4,Day 7,4,Manus / Code,T-C-01,营养点管理+场景管理+菜单管理（基础版）,待启动,P0,运营人员工作台
T-C-03,后台订单管理与厨房打印,线C·后台,第二周,Day 8,Day 10,3,Manus / Code,T-C-02 + D-07,订单接收+飞鹅云打印指令,待启动,P1,依赖飞鹅云账号配置
T-QA-01,全链路联调测试,联调,第二周,Day 11,Day 12,2,Manus + 人工,T-B-03 + T-C-03,完整业务闭环跑通（点餐→支付→出单）,待启动,P0,发现问题立即修复
T-QA-02,生产环境部署,部署,第二周,Day 12,Day 13,2,Manus / 技术,T-QA-01 + D-01~D-03,正式域名上线,待启动,P0,前端+后台+API 三端部署
T-QA-03,MVP 验收与灰度测试,验收,第二周,Day 13,Day 14,2,人工,T-QA-02,测试报告+MVP 验收确认,待启动,P0,小范围真实用户测试
