来源类别,框架名称,机构/作者,发布年份,核心逻辑,分类维度,适用层级,对 iS 框架的贡献,在新框架中的映射,局限性,关联的六个关键观察
学术来源,Bloom 认知分类法（修订版）,Anderson & Krathwohl / 教育心理学,2001,认知复杂度递进：从记忆到创造六级阶梯,记忆 → 理解 → 应用 → 分析 → 评估 → 创造,第 1 层·通用认知能力,提供 U1-U5 的纵向深度排序逻辑：从感知（低阶）到决策（高阶）,U1 感知 / U3 分析 / U5 决策的层级递进,仅描述认知深度，不描述能力的业务场景,观察 1：能力有深度维度（从记忆数据到创造智慧是单向递进加工链，是 X 轴骨架）
学术来源,DIKW 知识金字塔,Russell Ackoff / 信息科学,1989,信息加工深度：原始事实→可执行判断四层递进,数据 → 信息 → 知识 → 智慧,第 1 层·通用认知能力,提供「单轴三层+约束前置」的核心骨架：数据处理→知识沉淀→智慧决策,U1（Data）/ U2（Information）/ U3（Knowledge）/ U5（Wisdom）的直接对应,第四层 Wisdom 在 AI 场景中难以量化和验证,观察 1：能力有深度维度（DIKW 是 Bloom 的信息科学版本，两者共同构成深度轴）
学术来源,认知负荷理论（CLT）,John Sweller / UNSW 认知心理学,1988,工作记忆有限，能力设计要降低认知负荷,内在负荷 / 外在负荷 / 相关负荷,第 0 层·约束层,指导约束层设计：系统指令必须精简，避免 AI 工作记忆溢出导致行为漂移,Con-3 人机交互规范 / IS_SKILL_BOOTSTRAP 的指针引用设计,理论来自人类认知，AI 的「认知负荷」机制与人类有本质差异,（无直接对应观察，属于架构设计约束）
学术来源,功能分解法（FD）,MIT CSAIL / 斯坦福 d.school / 系统工程,1970s,从顶层功能逐层拆解为最小可执行单元,功能树：目标 → 子功能 → 原子操作,第 1 层·通用认知能力 + 第 3 层·封装引擎,提供「能力原子」的设计方法：每个 U 层能力可继续拆解为更小的执行单元,MATRIX_ATOMS 的整体设计逻辑 / E 层引擎 = 多个 U 层原子的功能组合,功能分解容易产生过度细化，需要有终止条件,观察 2：能力有颗粒度维度（顶层是「能做什么」，底层是「怎么做到」，两者不能混放在同一层级）
学术来源,双过程理论（System 1/2）,Daniel Kahneman / 普林斯顿认知科学,2002,快思（直觉/模式匹配）vs 慢思（推理/规划）两种处理模式,自动化直觉层 / 受控推理层,第 1 层·通用认知能力,区分 U1/U2（快速感知检索）与 U3/U5（深度推理决策）的处理模式差异,U1-U2 对应 System 1（快速） / U3-U5 对应 System 2（慢速）,AI 的处理机制与人类双过程理论的映射尚无定论,观察 6：知识有显性/隐性之分，能力有自动化/受控之分（B 层知讯实质是管理「显性知识的调取」，应叫「上下文管理」而非「知讯层」）
学术来源,SECI 知识转化模型,野中郁次郎 / 日本一桥大学 / 知识管理,1995,知识在隐性与显性之间四种转化方式,社会化 → 外化 → 组合 → 内化,第 2 层·体系治理,指导 G1 上下文管理的设计：如何将对话中的隐性知识外化为 GitHub 文件（SSOT）,G1-a 全局状态账本 / G3-a 版本控制（知识外化与固化机制）,原模型针对人类组织，AI 体系的「知识内化」机制需要重新定义,观察 6：知识有显性/隐性之分（SECI 与双过程理论共同支撑此观察）
工业/组织来源,OECD 核心能力框架,OECD / 组织人才管理,2012,组织人才能力：以情境化行动结果为单位,交付集群 / 关系集群 / 战略集群,第 1 层·通用认知能力,提供「能力必须以可验证结果为单位」的设计原则，避免能力描述流于抽象,U 层每个能力的子能力说明必须包含可验证的输出（如「报告撰写」「API 调用」）,框架针对人类组织设计，AI 能力的「情境化」逻辑需要适配,观察 4：原则/约束不是能力，是能力的前置条件（OECD 与 Constitutional AI 共同支撑此观察）
工业/组织来源,McKinsey 能力模型,麦肯锡 / 咨询顾问,1980s,咨询顾问的问题解决能力结构：假设驱动 + 数据支撑,结构化思维 / 假设驱动 / 数据分析,第 1 层·通用认知能力,提供 U3 分析推理 + U5 决策判断的具体方法论：MECE 拆解 / 假设驱动 / 期望值推演,U3 分析与推理（逻辑拆解/多维对比/根因分析）/ U5 决策与判断（假设驱动/期望值推演）,麦肯锡方法论偏向商业咨询场景，通用性需要扩展,（无直接对应观察，属于 U3/U5 的方法论支撑）
工业/组织来源,TOGAF 业务能力框架,The Open Group / 企业架构,2009,企业能力 = 组织做某件事的能力，与流程/资源/信息绑定,战略能力 / 核心能力 / 支撑能力,第 3 层·封装引擎,提供 E 层引擎的设计逻辑：每个引擎 = 能力 + 流程 + 资源的绑定体,E2 NexFlow / E3 Nex2U 等引擎的「能力+流程+资源」三要素定义,TOGAF 框架较重，适合大型企业，轻量化适配需要裁剪,观察 2：能力有颗粒度维度（TOGAF 与 MIT 功能分解法共同支撑此观察）
工业/组织来源,IDEO 设计思维,IDEO / 斯坦福 d.school,2001,以人为中心的问题解决五步法,共情 → 定义 → 发散 → 原型 → 测试,第 1 层·通用认知能力,提供 U4 生成与执行的迭代逻辑：快速原型 → 测试 → 迭代，而非一次性完美输出,U4 生成与执行（SOP 自动执行 / 快速原型生成）,设计思维偏向创意场景，在结构化执行场景中适用性有限,（无直接对应观察，属于 U4 的方法论支撑）
