目录分组,文件名,版本,文件类型,用途说明,读取频率,状态
00-master · 全局治理,SYNEXA_IS_BASE_FRAMEWORK_v1.0.md,v1.0,框架文档,iS 体系基础框架定义 / 约束层核心文件,每次启动,活跃
00-master · 全局治理,WORKSPACE_REGISTRY_v2.1.md,v2.1,注册表,所有工作空间（对话组）的注册与状态管理,按需,活跃
00-master · 全局治理,VERSION_REGISTRY.md,-,版本记录,全局文件版本变更记录,按需,活跃
00-master · 全局治理,OPEN_ISSUES.md,-,问题跟踪,当前未解决问题与阻塞项,每次启动,活跃
00-master · 全局治理,REPO_INDEX.md,-,文件索引,仓库全局文件索引（顶层）,按需,活跃
00-master · 全局治理,IS_SOP_FILE_GOVERNANCE.md,-,治理规范,文件命名规范与治理规则,按需,活跃
00-master · 全局治理,RACI_v1.0.md,v1.0,责任矩阵,各角色职责分工 RACI 矩阵,按需,活跃
00-master · 全局治理,W01_INSTRUCTION_PACKAGE_v1.5.md,v1.5,指令包,W01 工作空间指令集合包,按需,活跃
00-master · Skill 体系,TRIGGER_CHEATSHEET_SKILL_v1.1.md,v1.3,Skill,全局触发词速查表 / 模糊匹配机制,每次触发,活跃
00-master · Skill 体系,QUICK_BRIEF_SKILL_v1.0.md,v1.0,Skill,快速概述技能 / 通用信息提炼输出,按需触发,活跃
00-master · Skill 体系,TASK_SUMMARY_SKILL_v1.0.md,v1.1,Skill,任务汇总技能 / 触发词声明,按需触发,活跃
00-master · Skill 体系,IS_SKILL_BOOTSTRAP_v1.0.md,v1.0,接入声明,各对话框通用 Skill 接入声明（指针引用版）,配置时使用,活跃
00-master · Skill 体系,IS_MATRIX_CAPABILITY_OVERVIEW_SKILL_v1.0.md,v1.0,Skill,能力框架概述技能 / 四层架构快速输出,按需触发,活跃
00-master · 任务管理,TASK_TRACKING_PROTOCOL_v1.0.md,v1.0,协议,任务跟踪 11 字段标准协议,每次任务操作,活跃
00-master · 任务管理,IS_TRACKER_MASTER_v1.0.md,v1.2,跟踪表,全局任务推进台账（11 字段对齐版）,每次任务操作,活跃
00-master · 能力矩阵,IS_MATRIX_CAPABILITY_ATOMS_v2.0.d2,v2.0,D2 源文件,四层能力框架架构图源文件,按需,活跃
00-master · 能力矩阵,IS_MATRIX_CAPABILITY_ATOMS_v2.0.png,v2.0,架构图,四层能力框架架构图（含新旧对照表）,按需,活跃
00-master · 能力矩阵,IS_MATRIX_MAPPING_TABLE_v2.0.csv,v2.0,CSV,新旧框架对照表（飞书导入用）,按需,活跃
00-master · 能力矩阵,IS_MATRIX_CAPABILITY_FULL_v2.0.csv,v2.0,CSV,能力矩阵完整版（飞书多维表格用）,按需,活跃
00-master · 能力矩阵,IS_FILE_REGISTRY_v1.0.csv,v1.0,CSV,全局文件总目录（飞书多维表格用）,按需,活跃
00-master · 架构图,SYNEXA_GLOBAL_ARCHITECTURE_v1.0.d2,v1.0,D2 源文件,全局架构图 D2 源文件,按需,历史版本
00-master · 架构图,SYNEXA_GLOBAL_ARCHITECTURE_v1.7.png,v1.7,架构图,全局架构图最新版,按需,活跃
00-master · 架构图,SYNEXA_DIALOGUE_ARCHITECTURE_v1.0.png,v1.0,架构图,对话架构图,按需,活跃
00-master · 协议,ISYNC_PROTOCOL.md,-,协议,全局指令同步协议定义,每次同步,活跃
01-master-blueprint · 基线,Synexa_iS_SSADS_Master_Blueprint_v1.4.md,v1.4,蓝图,iS 体系主蓝图 / 认知基线核心文件,每次启动,活跃
02-context-os · 状态,CONTEXT_OS.md,-,状态账本,全局状态总账本 / SSOT 核心文件,每次启动,活跃
